0.1,0
0.3,0.00601769
0.5,0.0156306
0.7,0.0340314
0.9,0.0699913
1.1,0.138615
1.3,0.265213
1.5,0.490475
1.7,0.876787
1.9,1.51501
2.1,2.53027
2.3,4.08446
2.5,6.37244
2.7,9.60875
2.9,14.0026
3.1,19.7204
3.3,26.84
3.5,35.3019
3.7,44.8698
3.9,55.1119
4.1,65.4129
4.3,75.0247
4.5,83.1502
4.7,89.0509
4.9,92.1565
5.1,92.1565
5.3,89.0509
5.5,83.1502
5.7,75.0247
5.9,65.4129
6.1,55.1118
6.3,44.8698
6.5,35.3019
6.7,26.84
6.9,19.7204
7.1,14.0026
7.3,9.60875
7.5,6.37244
7.7,4.08446
7.9,2.53027
8.1,1.51501
8.3,0.876787
8.5,0.490475
8.7,0.265213
8.9,0.138615
9.1,0.0699913
9.3,0.0340314
9.5,0.0156306
9.7,0.00601768
9.9,0
