0.1,0
0.3,0.0252644
0.5,0.0604964
0.7,0.118283
0.9,0.216704
1.1,0.382641
1.3,0.655552
1.5,1.09148
1.7,1.76678
1.9,2.78055
2.1,4.25455
2.3,6.32905
2.5,9.15312
2.7,12.8686
2.9,17.5879
3.1,23.3669
3.3,30.1776
3.5,37.8836
3.7,46.2267
3.9,54.8279
4.1,63.2076
4.3,70.8257
4.5,77.1367
4.7,81.6538
4.9,84.0107
5.1,84.0107
5.3,81.6538
5.5,77.1367
5.7,70.8257
5.9,63.2076
6.1,54.8279
6.3,46.2267
6.5,37.8836
6.7,30.1776
6.9,23.3669
7.1,17.5879
7.3,12.8686
7.5,9.15312
7.7,6.32904
7.9,4.25455
8.1,2.78055
8.3,1.76678
8.5,1.09148
8.7,0.655551
8.9,0.382641
9.1,0.216704
9.3,0.118283
9.5,0.0604964
9.7,0.0252643
9.9,0
