0.1,0
0.3,0.0673859
0.5,0.153394
0.7,0.279695
0.9,0.474084
1.1,0.773527
1.3,1.22701
1.5,1.89782
1.7,2.86466
1.9,4.22092
2.1,6.07128
2.3,8.52491
2.5,11.6849
2.7,15.6343
2.9,20.4189
3.1,26.0304
3.3,32.3901
3.5,39.3386
3.7,46.6329
3.9,53.9542
4.1,60.9273
4.3,67.1502
4.5,72.2317
4.7,75.8314
4.9,77.6981
5.1,77.6981
5.3,75.8314
5.5,72.2317
5.7,67.1502
5.9,60.9273
6.1,53.9542
6.3,46.6329
6.5,39.3386
6.7,32.3901
6.9,26.0304
7.1,20.4189
7.3,15.6343
7.5,11.6849
7.7,8.52491
7.9,6.07128
8.1,4.22092
8.3,2.86466
8.5,1.89782
8.7,1.22701
8.9,0.773526
9.1,0.474084
9.3,0.279695
9.5,0.153394
9.7,0.0673859
9.9,0
